breast milk	mǔrǔ	母乳	母乳
powdered milk	nǎifěn	奶粉	奶粉
brain; mind	nǎozi	脑子	腦子
chubby	pàngdūdū	胖嘟嘟	胖嘟嘟
an infant's first month anniversary	mǎnyuè	满月	滿月
to recover	huīfù	恢复	恢復
to go online	shàngxiàn	上线	上線
soon	kuài yào	快要	快要
newest	zuìxīn	最新	最新
