to be interested in something	duì ... gǎn xìngqù	对......感兴趣	對......感興趣
to stare at	dīng	盯	盯
double eyelids	shuāngyǎnpí	双眼皮	雙眼皮
single eyelids	dānyǎnpí	单眼皮	單眼皮
skin	pífū	皮肤	皮膚
to have	yǒu	有	有
round face	yuánliǎn	圆脸	圓臉
long hair	chángfà	长发	長發
to bump into	pèngdào	碰到	碰到
to keep a secret	bǎomì	保密	保密
straight	zhí	直	直
to stand	zhàn	站	站
to weigh	chēng	称	稱
scale	chèng	秤	秤
